ObjectPad,Threads,Scenario,Allocator,Ops,Time(s),Throughput(op/s),Mem(MB),p50_us,p99_us
512,4,CrossThread,allocate_shared(PoolAlloc),1000000,2.6176,382030,9478.63,0,0
512,4,CrossThread,make_shared,1000000,25.2964,39531.4,9525.11,0,0
512,4,CrossThread,allocate_shared(PoolAlloc),1000000,25.1933,39693.1,9571,0,0
512,8,SameThread,make_shared,4000000,0.277657,1.44063e+07,9562.99,0.3,0.9
512,8,SameThread,allocate_shared(PoolAlloc),4000000,0.243072,1.6456e+07,9579.65,0.2,0.5
512,8,CrossThread,make_shared,2000000,0.868104,2.30387e+06,9579.7,0,0
512,8,CrossThread,allocate_shared(PoolAlloc),2000000,0.651277,3.07089e+06,9596.35,0,0
512,8,CrossThread,make_shared,2000000,2.81321,710931,9684.22,0,0
512,8,CrossThread,allocate_shared(PoolAlloc),2000000,2.73365,731623,10505.7,0,0
512,8,CrossThread,make_shared,2000000,25.3393,78928.8,10580.5,0,0
512,8,CrossThread,allocate_shared(PoolAlloc),2000000,25.2032,79355,10798.3,0,0
512,16,SameThread,make_shared,8000000,0.52778,1.51578e+07,10781.3,0.5,1.7
512,16,SameThread,allocate_shared(PoolAlloc),8000000,0.475321,1.68307e+07,10814.6,0.4,2.2
512,16,CrossThread,make_shared,4000000,2.15342,1.85751e+06,10815,0,0
512,16,CrossThread,allocate_shared(PoolAlloc),4000000,1.97565,2.02465e+06,10850.4,0,0
512,16,CrossThread,make_shared,4000000,3.46866,1.15318e+06,11019.7,0,0
512,16,CrossThread,allocate_shared(PoolAlloc),4000000,3.47379,1.15148e+06,11938.8,0,0
512,16,CrossThread,make_shared,4000000,25.4429,157214,12095.5,0,0
512,16,CrossThread,allocate_shared(PoolAlloc),4000000,25.2928,158148,13136.5,0,0
512,32,SameThread,make_shared,16000000,0.996719,1.60527e+07,13095.6,0.6,2.9
512,32,SameThread,allocate_shared(PoolAlloc),16000000,0.829071,1.92987e+07,13162.2,0.4,3.5
512,32,CrossThread,make_shared,8000000,5.28725,1.51307e+06,13162.2,0,0
512,32,CrossThread,allocate_shared(PoolAlloc),8000000,5.04147,1.58684e+06,13228.8,0,0
512,32,CrossThread,make_shared,8000000,5.82978,1.37226e+06,13386.4,0,0
512,32,CrossThread,allocate_shared(PoolAlloc),8000000,6.04448,1.32352e+06,13747.5,0,0
512,32,CrossThread,make_shared,8000000,26.2654,304583,12961.3,0,0
512,32,CrossThread,allocate_shared(PoolAlloc),8000000,25.9905,307805,16257,0,0
512,64,SameThread,make_shared,32000000,1.96379,1.6295e+07,16189.4,0.7,3.2
512,64,SameThread,allocate_shared(PoolAlloc),32000000,1.54193,2.07532e+07,16322.7,0.4,3.8
512,64,CrossThread,make_shared,16000000,10.5021,1.5235e+06,16350,0,0
512,64,CrossThread,allocate_shared(PoolAlloc),16000000,9.97378,1.60421e+06,16484.3,0,0
512,64,CrossThread,make_shared,16000000,14.5919,1.0965e+06,19306.1,0,0
512,64,CrossThread,allocate_shared(PoolAlloc),16000000,15.082,1.06087e+06,23752.7,0,0
512,64,CrossThread,make_shared,16000000,33.9466,471328,26659.4,0,0
512,64,CrossThread,allocate_shared(PoolAlloc),16000000,32.4332,493321,27503.2,0,0
900,1,SameThread,make_shared,500000,0.0427123,1.17062e+07,24485.4,0.1,0.2
900,1,SameThread,allocate_shared(PoolAlloc),500000,0.0298791,1.67341e+07,24487.5,0,0.1
900,2,CrossThread,make_shared,500000,0.112538,4.44296e+06,24489.1,0,0
900,2,CrossThread,allocate_shared(PoolAlloc),500000,0.074084,6.7491e+06,24493.3,0,0
900,2,CrossThread,make_shared,500000,2.75349,181588,24904.4,0,0
900,2,CrossThread,allocate_shared(PoolAlloc),500000,2.65371,188416,24912.6,0,0
900,2,CrossThread,make_shared,500000,25.7229,19437.9,24958.3,0,0
900,2,CrossThread,allocate_shared(PoolAlloc),500000,25.37,19708.3,24965.9,0,0
900,2,SameThread,make_shared,1000000,0.0912149,1.09631e+07,24961.9,0.1,0.2
900,2,SameThread,allocate_shared(PoolAlloc),1000000,0.0605734,1.65089e+07,24966.1,0.1,0.1
900,2,CrossThread,make_shared,500000,0.112947,4.42685e+06,24966.1,0,0
900,2,CrossThread,allocate_shared(PoolAlloc),500000,0.0706982,7.07232e+06,24970.3,0,0
